gurmukhi,shahmukhi,part_of_speech
ਉਡਾਰ,,
ਹਾਸਾ ਆਉਣਾ,ہاسہ آؤنا,conjunct verb
ਅਲੂੰਆਂ,الوں آں,"adjective, masculine"
ਅਜਿਹਾ,اجیہا,adjective
ਤਕਾਲਾਂ,,
ਚਾਰਟ,چارٹ,"noun, masculine"
ਤਲਵਾਈ,,
ਪਛੇਤ,پچھیت,"noun, masculine"
ਕਾਵਿ ਭੇਦ,کاوَ بھید,"noun, masculine"
ਘੂਕਰਨਾ,گھوکرنا,"verb, intransitive"
ਬਰਦਾਸ਼ਤ,برداشت,"noun, feminine"
ਗਮ ਕਰਨਾ,غم کرنا,phrase
ਪਰਗਤੀਵਾਦ,پرگتی واد,"noun, masculine"
ਕੂਰ ਕੂਰ ਕੁਰਨਾ,,
ਨਿਥੂਰ,,
ਧੁਡ਼ਕਾ,,
ਮਾਤ ਭੂਮੀ,مات بُھومُی,"noun, feminine"
ਖੱਚਾਂ,,
ਵੰਗੇ,,
ਨਾਕਸ,ناقص,adjective
ਗਮਰੂਰ,,
ਪੁਆਰ,,
ਬੇਇਲਮ,بے عِلم,adjective
ਅਡ਼ਭ,,
ਭੰਡਾਰ,بھنڈار,"noun, masculine"
ਬੋਲਾ,بولا,"noun, masculine"
ਹੇਨਤ,,
ਅਸਤ ਹੋਣਾ,است ہونا,conjunct verb
ਕਾਇਮ ਕਰਨਾ,قائم کرنا,conjunct verb
ਗੋਹਲਾ,,
ਭੁਬਲੇਖਣਾ,,
ਰਮਣਾ,رمنا,"verb, intransitive"
ਪੰਧਡ਼ੀ,,
ਫਰਵ,,
ਅਚੇਤ,اچیت,adjective
ਲਾੱਦੀ,,
ਮਸਵਾਰ,,
ਉਣਾਹਠਵਾਂ,اُناہٹھواں,"adjective, masculine"
ਹਿਤੈਸ਼ੀ,ہِتیشی,adjective
ਮੂੰਹ ਚਿੜਾਉਣਾ,مُنھ چِڑاؤنا,phrase
ਬਿਗੜਨਾ,بِگڑنا,"verb intransitive, dialectical usage"
ਅਰੇੜੀ,اریڑی,"noun, feminine"
ਜਾਇਆ ਹੋਣਾ, ضائع ہونا,conjunct verb
ਖੋਹਾ-ਖਾਹੀ,کھوہا-کھاہی,"noun, feminine"
ਅਸੱਭਿਅਤਾ,اسبھّیتا,"noun, feminine"
ਨਈਆ,نایا,"noun, feminine"
ਦਰਦਰਾ,,
ਨਸਪਾਲੀ,,
ਭਗੰਦਰ,بھگندر,"noun, masculine"
ਗਊ ਮੱਖੀ,گئُو مکھّی,"noun, feminine"
ਰੂਟ,روٹ,"noun, masculine"
ਕਮੌਤ,کمَوت,"noun, feminine"
ਤਾਲੂ,,
ਵੌਕਾ,,
ਖਾਰਜ ਹੋਣਾ,خارج ہونا,conjunct verb
ਥੁਹਲਾ,,
ਸਰੇਸ,,
ਅਚੱਲ,اچلّ,adjective
ਬਰਹਮ,برہم,"noun, masculine"
ਪੁੜਾ,پُڑا,"noun, masculine"
ਬਰਮਾਉਣਾ,,
ਦੰਦਾਲੀ,دندالی,"noun, masculine/noun, feminine"
ਛੋਪਾਂ ਪਾਉਣੀਆਂ,چھوپاں پاؤنیاں,conjunct verb
ਜਿੱਥੇ ਜਿੱਥੇ,جِتّھے جِتّھے,adverb
ਨਾਗਰੀ,ناگری,"noun, feminine"
ਫਾਫਰਾ,,
ਸਿਰ ਸੰਬੰਧੀ,سِر سنبندھی,adjective
ਅਮਰ ਪਦ,امر پد,"noun, masculine"
ਦੁਰਗੰਧ,دُرگندھ,"noun, feminine"
ਚਿਮੂਨਾ,,
ਸਿਰੀਂਗਰੀ,,
ਸੁਹੁਲ,,
ਨਵਯੁਵਤੀ,نویُوتی,"noun, feminine"
ਉਲਰਨਾ,,
ਕਿਰਾਇਆ,کرایہ,"noun, masculine"
ਸਡ਼ੂ,,
ਦ੍ਵੰਦ,دوند,"noun, masculine"
ਛਿਹੱਤਰਵਾਂ,چھِہتّرواں,"adjective, masculine"
ਸਵਾਲ ਜਵਾਬ,سوال جواب,"noun, masculine"
ਨਜ਼ਰਾਨਾ,نذرانہ,"noun, masculine"
ਪਾਧਾ,,
ਪਿਚਲੀ,,
ਮਿਰਚੈਈ,,
ਭਠਿਆਰਾ,بھٹھیارا,"noun, feminine/noun, masculine"
ਚਪਨੀ,,
ਟਖਣਾ,,
ਅਧੂਰਾ,ادھورا,"adjective, masculine"
ਮਸਤਕ ਉੱਚਾ ਰੱਖਣਾ,مستک اُچّا رکّھنا,phrase
ਦੂਣੀ,,
ਸਮਾ ਜਾਣਾ,سما جانا,conjunct verb
ਕੈਦ,قید,"noun, feminine"
ਪੱਧਰ,پدّھر,"noun, feminine"
ਚਿਰ ਕਾਲ,چِر کال,"noun, masculine"
ਚੁਭਨ,چُبھن,"noun, feminine"
ਜੁੰਡੀ,جُنڈی,"noun, feminine"
ਫਰਹੀ,,
ਲਗੌੜ,لگوڑ,"noun, feminine"
ਸੋਟਾ,سوٹا,"noun, masculine"
ਜੂਲਾ,,
ਕੰਡੇ ਬੀਜਣਾ,کنڈے بیجنا,phrase
ਨਕਲੀ ਲੜਾਈ,نقلی لڑائی,"noun, feminine"
ਹੌਕਾ,ہوکا,"noun, masculine"
ਪੁੱਛ ਪ੍ਰਤੀਤ,پُچّھ پرتیت,"noun, feminine"
ਖੜ੍ਹਾ ਕਰਨਾ,کھڑا کرنا,conjunct verb
ਡੋਂਗਾ,ڈونگا,"noun, masculine"
ਨਿੱਖੜਵਾਂ,نِکھّڑواں,adjective
ਏਲੂਆ,ایلوآ,"noun, masculine"
ਝੇਲ,,
ਰਵਾਲ ਭਰ,روَال بھر,adjective
ਗਲਣਾ,,
ਲਟਪਟਾਉਣਾ,,
ਧਾਰਮਿਕ,دھارمِک,adjective
ਕਥਾ,کتھا,"noun, feminine"
ਫੇਫੜੇ ਦਾ ਰੋਗ,پھیپھڑے دا روگ,phrase
ਸਾਥ ਕਰਨਾ,ساتھ کرنا,conjunct verb
ਡਿਬਡਿਬੀ,,
ਹਿਦਾਇਤ,ہدایت,"noun, feminine"
ਬਹਿਣ,,
ਬੁੱਕਾ,,
ਸਖੌਟੀ,,
ਬੁਟੱ,,
ਬਰਕਣਦਾਜ,,
ਹਮਾ-ਤੁਮਾ,ہما-تُما,pronoun
ਚੰਘਾੜਨਾ,چنگھاڑنا,"verb, intransitive"
ਟੇਢਾ ਕਰਨਾ,ٹیڈھا کرنا,conjunct verb
ਨਿਸਤਾਰਾ,نِستارا,"noun, masculine"
ਪ੍ਰਸ਼ਨ ਵਾਚਕ ਪੜਨਾਉਂ,پرشن واچک پڑناؤں,"noun, masculine"
ਅਮੂਲ,,
ਵੱਟ ਪਾਉਣੀ,وٹّ پاؤنی,conjunct verb
ਹਥਿਆ,ہتھیا,verb
ਖਾਣਾ ਪੀਣਾ,کھانا پینا,"noun, masculine"
ਲੰਕਾ ਦਾ ਵਾਸੀ,لنکا دا واسی,phrase
ਹੋਲ੍ਹ,ہولھ,"noun, feminine"
ਤਾਜ਼ਾ ਕਰਨਾ,تازہ کرنا,conjunct verb
ਫਨਾਹ,فنا,"noun, masculine"
ਏਹੀ,,
ਰੰਦਾਉਣਾ,رنداؤنا,"verb, transitive"
ਤੀਉਡ਼ੀ,,
ਬਜਾ ਲਾਉਣਾ,بجا لاؤنا,phrase
ਸਪੇਦ,,
ਤਿਤ,تِت,pronoun
ਗੁੱਥਮਗੁੱਥਾ ਹੋਣਾ,گُتھّم گُتھّا ہونا,conjunct verb
ਗੁਣਜ,گُنج,"noun, masculine"
ਲੁੱਚ,لُچّ,adjective
ਇਹਤਿਆਤਨ,احتیاطاً,adverb
ਹੱਸ,ہسّ,"noun, masculine"
ਪਾਨਵਾੜੀ,پانواڑی,"noun, feminine"
ਗਠਡ਼ੀ,,
ਚੜ੍ਹਾ,چڑھا,verb
ਸੰਦੇਹ,سندیح,"noun, masculine"
ਜੱਸ,جسّ,"noun, masculine"
ਕਸਾਉਟ,,
ਪਿਸਾਉਣਾ,پِساؤنا,"verb, transitive"
ਰੇਇਨੀ,,
ਸੋਟਿਓ ਸੋਟੀ,سوٹِیو سوٹی,adverb
ਚਰਸੀ,چرسی,"noun, masculine"
ਛਿਡ਼ਾਈ,,
ਅੰਤਕਾ,انتکا,"noun, feminine"
ਫਲਾੱਨਾ,,
ਬਰਲ,برل,"noun, masculine"
ਮੂੰਹ ਮੱਥਾ,مُنھ متّھا,"noun, masculine"
ਟਿੰਗਰੀ,,
ਪਧਾਰ,پدھار,verb
ਘੁਮਾਂ,گھُماں,"noun, masculine"
ਗੈਰ ਕਾਸ਼ਤਕਾਰ,غَیر کاشتکار,adjective
ਨਿਸ਼ਾ ਹੋਣੀ,نِشا ہونی,conjunct verb
ਪਾਨਡ਼ੀ,,
ਸਾਵਲਾ,,
ਅਸਤਬਲ,اصطبل,"noun, masculine"
ਕੁਫ,,
ਲਾਣਤੀ,,
ਡਾਹ,ڈاہ,"noun, feminine"
ਮੁੱਲ ਵਿਚ ਵਾਧਾ,مُلّ وِچ وادھا,phrase
ਸ਼ੁਭ ਕਰਮ,شبھ کرم,"noun, masculine"
ਦੋਜਕਣ,,
ਕਿਧਰੋਂ,کِدھروں,adverb
ਰੋਝ,روجھ,"noun, masculine"
ਗਲੋਬ,گلوب,"noun, masculine"
ਲਿਖਾਈ,لِکھائی,"noun, feminine"
ਪਹਾੜ ਨਾਲ ਮੱਥਾ ਲਾਉਣਾ,پہاڑ نال متّھا لاؤنا,phrase
ਮਹੱਤਵਪੂਰਨ,مہتّوپُورن,adjective
ਨਾਪਸੰਦ,ناپسند,adjective
ਬਨਾ,,
ਈਰਖਾ ਕਰਨੀ,ایرکھا کرنی,conjunct verb
ਸਵੈਸੰਜਮ,سوَیسنجم,"noun, masculine"
ਜੀਉਡ਼ਾ,,
ਆਮੋਦ,آمود,"noun, masculine"
ਢਲ਼ਾਈ,ڈھلائی,"noun, feminine"
ਕਲਾਬਾਜ਼ੀ ਮਾਰਨੀ,کلابازی مارنی,conjunct verb
ਤਿਲਵੰਗ,,
ਹੱਥ ਕਰਨਾ,ہتھ کرنا,phrase
ਹੱਦ ਤੋਂ ਬਾਹਰ ਹੋਣਾ,حدّ توں باہر ہونا,phrase
ਥਪੇਡ਼ਾ,,
ਕਾਂਟਾ,کانٹا,"noun, masculine"
ਫੁਟਕੁਰ,,
ਦੈਤ,,
ਹਿੰਘਰਣਾ,,
ਸੀਯਾਂ,,
ਗਾਮਚਾ,گامچہ,"noun, masculine/noun, feminine"
ਦੋਸ ਦੇਣਾ,دوس دینا,conjunct verb
ਪਲਾਇਣਵਾਦ,پلائنواد,"noun, masculine"
ਨਿਕਡ਼ਾ,,
ਬੇਜਾਰ,بے زار,adjective
ਦਲਿੱਦਰਤਾਈ,,
ਪੇਡੂ ਦੀ ਹੱਡੀ,پیڈُو دی ہڈّی,phrase
ਏਰਨਾਗੋਹਾ,,
ਦੱਰੋ,,
ਸ੍ਵਰ ਚਿੰਨ੍ਹ,سوَر چِنہ,"noun, masculine"
ਫੱਕਡ਼ਿਆਨਾ,,
ਦਰਗੁਜਰ ਕਰਨਾ,درگُزر کرنا,conjunct verb
ਸ਼ਰਨਾਗਤ,شرناگت,"adjective & noun, masculine"
ਭੁਸੇੱਡਕਾਰ,,
ਚੁਹੁਬ,,
ਪਪੜੀ ਬੱਝਣੀ,پپڑی بجھّنی,conjunct verb
ਢੁਬੱਲੀ,,
ਦੁਪਹਿਰੀਆ,,
ਕਿਚਾਵਾ,,
ਸੁਕਚਣਾ,,
ਜੰਮ ਜੰਮ,جمّ جمّ,adverb
ਸ਼ਹੁ,شہہ,"noun, masculine"
ਦੀਨਾ ਬੰਧੂ,دینا بندھو,"noun, masculine"
ਖਾਕਸਾਰ,خاک سار,adjective
ਆਡ਼ਬੰਦ,,
ਇੰਦਰਾਯਣ,,
ਤਰਕ ਕਰਨਾ,ترک کرنا,conjunct verb
ਗੁਆਚਜਾਣਾ,,
ਤਬੀਤੀਆ,,
ਇਨਾਮ ਵੰਡਣਾ,انعام ونڈنا,conjunct verb
ਕੀਮਤ,قیمت,"noun, feminine"
ਦਵੋਲੀਆ,,
ਪਊਆ,پؤُآ,"noun, masculine"
ਰੁਤ,,
ਗਿਣਤੀ,گِنتی,"noun, feminine"
ਪਰਿਸ਼ਰਮੀ,پرِشرمی,adjective
ਉਲਸੀ,,
ਯੁਗਮਤ,یُگمت,adjective & adverb
ਭੂਮੀ ਦਾਨ,بُھومُی دان,"noun, masculine"
ਕਾਸਣੀ,,
ਕੱਖੋਂ ਹੌਲਾ,ککھّوں ہولا,phrase
ਮਛਿਆਂਧ,مچھیاندھ,"noun, feminine"
ਪਨਾਹਗੀਰ,پناہ گیر,"adjective & noun, masculine"
ਵਸੂਲ ਪਾਉਣਾ,وصول پاؤنا,conjunct verb
ਜਲੇਬੀ ਜੂੜਾ,جلیبی جوڑا,"noun, masculine"
ਟੁਕਰਪਰਾਕਾ,,
ਤਾਲੋਂ ਬੇਤਾਲ,تالوں بے تال,"adjective, masculine"
ਨਯਾਇਣ,,
ਬਾਹੀਯਾ,,
ਪਲਸ,پلس,"noun, feminine"
ਰੰਡੂਆ,رنڈوآ,"noun, masculine"
ਯੂਨੀਵਰਸਿਟੀ,یونیورسٹی,"noun, feminine"
ਉਕਰਾਈ,اُکرائی,"noun, feminine"
ਰਮਦਾਸ,,
ਵੰਜਨ,,
ਬਰਖਾਸਤ,برخاست,adjective
ਬੰਪਰ,بنپر,"noun, masculine"
ਮਾਰਬਲ,ماربل,"noun, masculine"
ਅਹਿਮਕਾਨਾ,احمقانہ,adjective
ਖੰਘਣਾ,کھنگھنا,"verb, intransitive"
ਠੰਢੀ ਪਾਉਣੀ,ٹھنڈھی پاؤنی,"verb, transitive"
ਵਿਆਂਗੁ,,
ਨੱਕ ਸੁਣਕਣਾ,نکّ سُنکنا,conjunct verb
ਬੇਮਜਾ,بے مزہ,adjective
ਮਜ਼ਾਕ,مذاق,"noun, masculine"
ਲਕਡ਼ਾਕਡ਼,,
ਗੋਗੜ,گوگڑ,"noun, feminine"
ਸਹਾਰਨਾ,سہارنا,"verb, intransitive as well as transitive"
ਮੁਬਾਲਗਾ,مبالغہ,"noun, masculine"
ਬੇਦਖਲ,بے دخل,adjective
ਅਠੱਮੀ,,
ਸਿੰਮ,سِمّ,verb
ਕੁਟਿਲ,کُٹل,adjective
ਗਰਿੱਲ,گرِلّ,"noun, feminine"
ਹਡ਼ਬਡ਼ੀ,,
ਤਵਾਈ,,
ਪੁੱਠਾ ਬੋਲਣਾ,پُٹھّا بولنا,phrase
ਬਿਥਿਆ,,
ਵਕਤ ਸਿਰ,وقت سِر,adverb
ਧਮੁੱਕੀ,,
ਸੰਧੀ ਕਰਤਾ,سندھی کرتا,"noun, masculine"
ਪਿੱਲੀ,,
ਨਖੱਤਰਾ,نکھتّرا,"adjective, masculine"
ਰਿਤਵਾਉਣਾ,رِتواؤنا,"verb, transitive"
ਝਾਂਵਲੀ,,
ਪਿਆਜ,پیاز,"noun, masculine"
ਸੁਨਿਆਰਾ,سُنیارا,"noun masculine, dialectical usage"
ਤਸ਼ਵੀਸ਼ਨਾਕ,تشویشناک,adjective
ਪਥੱਲਣਾ,پتھلّنا,"verb, transitive"
ਮੇਡ਼੍ਹਾ,,
ਕਿਸ਼ਤ ਮਾਤ,قِسط مات,"noun, feminine"
ਕਾਪਾ,,
ਪਰਿਵਾਰ ਨਿਯੋਜਨ,پریوار نِیوجن,"noun, masculine"
ਓਘਰਾ,,
ਜੀਵਨ ਪੱਧਰ,جیون پدّھر,"noun, masculine"
ਸੂਬਾ,صُوبہ,"noun, masculine"
ਵਲੀ ਅਹਿਦ,ولی عہد,"noun, masculine"
ਮੁਰਗੀ,مُرغی,"noun, feminine"
ਥਥਲਾਪਣ,تھتھلاپن,"noun, masculine"
ਆਸਕੀ,,
ਕੁਤਾਰ,,
ਮਹਤਾਬ,,
ਕੜਕ,کڑک,"noun, feminine"
ਸਪਤ,سپت,adjective
ਕਾਣੀ ਵੰਡ,کانی ونڈ,"noun, feminine"
ਉਧੜਾਈ,اُدھڑائی,"noun, feminine"
ਵਖਰੇਵਾਂ,وکھّریواں,"noun, masculine"
ਹੇਠੋਂ,ہیٹھوں,adverb
ਸਮ ਦਰਿਸ਼ਟੀ,سم درِشٹی,"noun, feminine"
ਮਨਕਤੀਆਂ,,
ਰੈਗੂਲੇਸ਼ਨ,رَیگولیشن,"noun, masculine"
ਸਿਧਾਂਤ ਸੰਬੰਧੀ,سِدھانت سنبندھی,adjective
ਵਰਜਸ਼,ورزش,"noun, feminine"
ਤਮੋਗੁਣ,تموگُن,"noun, masculine"
ਪੂਜਨੀਕ,پُوجنِیک,adjective
ਘੌਲ਼ ਕਰਨੀ,گھول کرنی,conjunct verb
ਦਰਾਜ,دراز,adjective
ਸੌੱਖਾ,,
ਚਬਕਣਾ,چبکنا,"verb, transitive"
ਮੁਸ਼ਟੰਡ,,
ਥਕਾ ਦੇਣਾ,,
ਕੰਠ ਲਾਉਣਾ,کنٹھ لاؤنا,phrase
ਅਫਰੋਈ,,
ਭਰਾਂਤੀ,بھرانتی,"noun, feminine"
ਬੋਬਾੱ,,
ਖੋਟ,کھوٹ,"noun, masculine"
ਸਾਈਸ,سائیس,"noun, masculine"
ਟੀਰ,ٹیر,"noun, masculine"
ਲੰਙਾ,لنجا,"adjective, masculine"
ਡੇਉਡ਼੍ਹੀ,,
ਧਣੁਖੀ,,
ਲੁਹੁਲਾ,,
ਭਤੇੱਹਾਰਾ,,
ਕਬਜ਼ੇਦਾਰ,قبضےدار,adjective
ਹਵਾਈ ਜਹਾਜ਼ ਚਾਲਕ,ہوائی جہاز چالک,"noun, masculine"
ਨੀਝ,نیجھ,"noun, feminine"
ਫਰੌਣ,,
ਉਂਘਲ਼ਾਟਾ,اُنگھلاٹا,"noun, feminine/noun, musculine/noun, masculine"
ਫਿਤਰਤ,فطرت,"noun, feminine"
ਭੱਖੜਾ,بھکھّڑا,"noun, masculine"
ਛਲਛਬੀਲਾ,,
ਪਲਾਹਜਡ਼ੀ,,
ਅਹਿਦ,عہد,"noun, masculine"
ਮੋਮ,موم,"noun, feminine"
ਲਚਰਪੁਣਾ,لچرپُنا,"noun, masculine"
ਖੁਣ,کھُن,verb
ਥਾਪਡ਼ਨਾ,,
ਜੀਉ,,
ਪੱਗ ਲਾਹੁਣੀ,پگّ لاہُنی,phrase
ਸੁਖਦਰਸ਼ਨ,سُکھدرشن,"noun, masculine"
ਜਬਰ ਜੰਗ,جبر جنگ,adjective
ਮੌਜਾ,,
ਘੱਟੋ ਘੱਟ,گھٹّو گھٹّ,adjective
ਗੱਭਰੂਪੁਣਾ,گبھّروپُنا,"noun, masculine"
ਜਲ਼ੀ ਕਟੀ ਸੁਣਾਉਣਾ,جلی کٹی سُناؤنا,"verb, intransitive"
ਅਜੂਨੀ,اَجُونی,adjective
ਨਿਸ਼ਾਨੇਬਾਜ਼,نشانےباز,"noun, masculine"
ਰਿਸਾਲਾ,رسالہ,"noun, masculine"
ਲਸਕਰ,,
ਕੰਨ ਨਾ ਹਿਲਾਉਣਾ,کنّ نہ ہِلاؤنا,phrase
ਖਾਡੀ,,
ਬਾਸਮਤੀ,باسمتی,"noun, feminine"
ਕੁਰਤਾਨਾਂ,,
ਉਰਾਰ,اُرار,noun &  adverb
ਸਗਾ,,
ਸੁਕੜੂ,سُکڑو,"adjective, masculine/adjective, feminine"
ਸੁੰਨ ਆਸਣ,سُنّ آسن,"noun, masculine/noun, feminine"
ਅਠੱਤੀਵਾਂ,اٹھتّیواں,adjective
ਖਲ਼ ਪਾਉਣੀ,کھل پاؤنی,conjunct verb
ਹੈਵਾਨ,حیوان,"noun, masculine"
ਪਰਬੀਣ,,
ਕਰਾਰ,قرار,"noun masculine, colloquial"
ਕੁੰਡਲ਼,کُنڈل,"noun, masculine"
ਸਰੀਂਹ,,
ਸੰਸਕਰਨ,سنسکرن,"noun, masculine"
ਸ਼ਾਸਨ ਕਾਲ,شاسن کال,"noun, masculine"
ਛਿੰਝ ਪਾਉਣੀ,چھِنجھ پاؤنی,conjunct verb
ਜਸੋਧਾਂ,,
ਛਾਯਾ,,
ਮੋਹਣਾ,موہنا,"verb, transitive"
ਨਿਆਜ ,,
ਗਲ਼ੇਫਣਾ,گلیپھنا,"verb, transitive"
ਹੱਥ ਧੋ ਕੇ ਪਿੱਛੇ ਪੈਣਾ,ہتھ دھو کے پِچّھے پَینا,phrase
ਸ਼ਾਤਰ,شاطر,"noun, masculine"
ਸੀਤ ਲੱਗਣੀ,سیت لگّنی,conjunct verb
ਹਰਜਾ ਮਰਜਾ,حرجا مرجا,"noun, masculine"
ਬੱਘਮੀ,,
ਸੈਂਟੀਗ੍ਰਾਮ,سَینٹیگرام,"noun, masculine"
ਧਾਂਸ,,
ਗੰਨੀ,گنّی,"noun, feminine"
ਤੀਲਾ,تیلا,"noun, masculine"
ਸੁੰਗੜਵਾਂ,سُنگڑواں,"adjective, masculine"
ਪਟੀਸ਼ਨ,پٹیشن,"noun, feminine"
ਧੋੱਪਾ,,
ਖੋਦ,کھود,"noun, masculine"
ਤੂਤਰੂ,توترو,"noun, masculine/noun, feminine"
ਪੱਥਰੀ,پتھّری,"noun, feminine"
ਕੁਹਾਨ,,
ਘਰਕਾਉਣਾ,گھرکاؤنا,"verb, transitive"
ਪਰਾਈ,پرائی,"adjective, masculine/ adjective, feminine"
ਬਰਸਣਾ,برسنا,"verb, intransitive"
ਦਲਯਾ,,
ਨਗੰਦਾਈ,نگندائی,"noun, feminine"
ਕਿਰਸਾਣੀ,,
ਸੱਤਰ੍ਹੀਂ,ستّرھیں,adverb
ਵਾਸਤਾ,واسطہ,"noun, masculine"
ਛਠ,,
ਉਠਾਈਗੀਰ,اُٹھائیگیر,"noun, masculine"
ਦੋਦੂਰ,,
ਜੰਗ ਛੇੜਨੀ,جنگ چھیڑنی,conjunct verb
ਵਰਨਨਯੋਗ,ورننیوگ,adjective
ਖੌਲੀ,,
ਵਾਡ਼ਣਾ,,
ਰੱਦ,ردّ,adjective
ਨਲੇਰੀ,,
ਹੇਰਵਾ ਕਰਨਾ,ہیروا کرنا,conjunct verb
ਥਾਪੜਨਾ,تھاپڑنا,"verb, transitive"
ਪਣ ਚੱਕੀ,پن چکّی,"noun, feminine"
ਢੋਹਣ,,
ਦੁੱਨੀ,,
ਝਾਮਡ਼ੀ,,
ਕਰਨ ਕਾਰਨ,کرن کارن,"noun, masculine"
ਤਿਮਰੂ,,
ਤੁੰਨਣਾ,تُنّنا,"verb, transitive"
ਵਿਸਮਨ,,
ਕਿਡ਼ਕਡ਼ਾਉਣਾ,,
ਸ਼ਾਖਚਿਨਾਰੀ,,
ਭਬੂਤੀ,,
ਪੰਜਸੇਰੀ,پنج سیری,"noun, feminine"
ਜਰੀਆਨ,جریان,"noun, masculine"
ਮੜ੍ਹਨਾ,مڑھنا,"verb, transitive"
ਚੌਪੜ,چوپڑ,"noun, masculine"
ਟਾਈਮ ਕੀਪਰ,ٹائم کیپر,"noun, masculine"
ਬੁਘੱਡ਼,,
ਫਰ,فر,"noun, masculine"
ਘੋਖ ਪੜਤਾਲ,گھوکھ پڑتال,"noun, feminine"
ਆਸਤੀਨ ਦਾ ਸੱਪ,آستین دا سپّ,phrase
ਲੰਗਰ ਲਾਉਣਾ,لنگر لاؤنا,conjunct verb
ਸੁਗੰਧਤਾ,,
ਵਾਕ ਲੈਣਾ,واک لَینا,conjunct verb
ਭਗਤੀ,بَھگتی,"noun, feminine"
ਸੂਰਤ,صُورت,"noun, feminine"
ਜਵਾਬ ਨਾ ਹੋਣਾ,جواب نا ہونا,phrase
ਬਨੱਗੀ,,
ਵੇਤਯਰ,,
ਦੱਦ,ددّ,"noun feminine, dialectical usage"
ਬੁਢਡ਼ਾ,,
ਹੁਕਮੀ,حُکمی,adjective
ਗੋਂਦ ਗੁੰਦਣੀ,گوند گُندنی,phrase
ਨਿਛਾਵਰ,نِچھاور,adjective
ਸਾਉਣੀ,ساؤنی,"noun, feminine"
ਬੁਤੱ,,
ਫੇੱਟਾ,,
ਉੱਨੂ,,
ਠਿੱਬੀ,ٹھِبّی,"adjective, feminine"
ਸੁੰਗਡ਼ਣਾ,,
ਸਹਿਜੇ,سہِجے,adverb
ਵਿਚਕੱਨਾ,,
ਤਰਿਪਤੀ,ترِپتی,"noun, feminine"
ਸ਼ਰੀਂਹ,شرینح,"noun, masculine"
ਤਾਲ਼ੀ,تالی,"noun, feminine"
ਗੰਦਕ,,
ਨਾਗਰ,,
ਪੈਦਾ ਕਰਨਾ,پیدا کرنا,conjunct verb
ਕਸੀਰਾ,,
ਅੱਭਯਾਸੀ,,
ਖਾਲ਼ ਖਾਲ਼ਨਾ,کھال کھالنا,conjunct verb
ਮੂੰਹ ਚੱਟਣਾ,مُنھ چٹّنا,phrase
ਧੁਲਵਾਈ,,
ਪਰਚੋਂ,,
ਚਲਾਉਣਾ,چلاؤنا,"noun, masculine"
ਨਿਕਟ,نِکٹ,adverb
ਗੱਲ੍ਹੜ,گلّھڑ,adjective
ਨਗੌਰੀ,نگوری,adjective
ਖਾਦੀ,کھادی,"noun, feminine"
ਰੋੜ,روڑ,"noun, masculine"
ਤੰਗੜੀ,تنگڑی,"noun, feminine"
ਮਕਨੀ,,
ਤੁਕਾਂਤ,تُکانت,"noun, masculine"
ਰੁਚਣਾ,,
ਸੁਪਨਦੋਸ਼,سُپندوش,"noun, masculine"
ਖਾਨਾ ਆਬਾਦੀ,خانہ آبادی,"noun, feminine"
ਭੂਤ ਚੰਬੜਨਾ,بُھوت چنبڑنا,conjunct verb
ਲੋਕ ਸੱਤਾ,لوک ستّا,"noun, feminine"
ਨੱਗਰ ਖੇੜਾ,نگر کھیڑا,"noun, masculine"
ਇਲਾਚੀ ਦਾਣਾ,اِلاچی دانہ,"noun, masculine"
ਖੋਹਾ-ਖੋਹੀ,کھوہا-کھوہی,"noun, feminine"
ਗੱਮਤੀ,,
ਖੇਦਾ,,
ਪਰਿਆ,پَریا,"adjective, feminine"
ਲੁਟਵੱਯਾ,,
ਦਡ਼ਨਾ,,
ਢਾਡੂ,,
ਬਲਿਹਾਰ,بلِہار,adjective
ਊਵੇਂ,,
ਮਾਤਾ੍,,
ਰਿਆਨ,,
ਗੱਦੀਨਸ਼ੀਨ,گدّی نشین,adjective
ਪਿਸਟਲ,پِسٹل,"noun, masculine"
ਟੁੱਲ,ٹُلّ,"noun, masculine"
ਦੁਕਾਨ ਵਧਾਉਣੀ,دوکان ودھاؤنی,phrase
ਡ੍ਰਾਈਵਰੀ,ڈرائیوری,"noun, feminine"
ਮਹਿੰਦਡ਼,,
ਮੰਜਵਾਉਣਾ,منجواؤنا,"verb, transitive"
ਧਡ਼ੀ,,
ਪਨਰੇਹੇ,,
ਟਰੈਕਟ,ٹرَیکٹ,"noun, masculine"
ਸ਼ੀਸ਼ਾ ਆਤਸ਼ੀ,شیشہ آتشی,"noun, masculine"
ਮੁਖਤਾਰ,مُختار,"noun, masculine"
ਉਗਾਊ,,
ਖਾਰੂ,کھارو,adjective
ਗੋਲ਼ੀ ਚਲਾਉਣੀ,گولی چلاؤنی,conjunct verb
ਮੁਸਾਫ਼ਰ,مُسافر,"noun, masculine"
ਲਾਂਝਾ,لانجھا,"noun, masculine"
ਛਟੀ,چھٹی,"noun, feminine"
ਵਾਰਤਕੀ,وارتکی,adjective
ਜੋਤਰ,,
ਸੀਂਕ,,
ਸਕਤਾਈ,,
ਘੋਗੁਡ਼,,
ਨਿਸੋਤ,,
ਕੌਲ਼ਾ,کَولا,"noun, masculine"
ਵਾਰੇ ਜਾਣਾ,وارے جانا,phrase
