gurmukhi,shahmukhi,part_of_speech
ਨਾਨਕਸ਼ਾਹੀ,نانک شاہی,adjective
ਜੀਰਨ,جیرن,adjective
ਫਾਲਾ,,
ਧਰਮ ਪੁੱਤਰ,دھرم پُتّر,"noun, masculine"
ਇਨਸਾਫ,انصاف,"noun, feminine"
ਭੁਣਕੀ,,
ਟੋਟਰੀ,,
ਦਮ ਮਾਰਨਾ,دم مارنا,phrase
ਧਮਧੁੱਸਡ਼,,
ਚਿਤੰਨਤਾ,چِتنّتا,"noun, feminine"
ਦੁਪਹਰਯਾ,,
ਪੈਂਖਡ਼,,
ਇੱਕੋ,اِکّو,adjective
ਰੰਗਰੇਜ਼,رنگریز,"noun, masculine"
ਲਖੌਤੀ,,
ਪਾਉਂਦੀ,,
ਝਾੜ ਝੜਨਾ,جھاڑ جھڑنا,conjunct verb
ਲਲਾਰੀ,للاری,"noun, masculine"
ਗੁਲ ਖੈਰਾ,گُل خَیرا,"noun, masculine"
ਰਵਾਨੀ,روانی,"noun, feminine"
ਵਿਦਾਣ,,
ਰਥਵਾਨ,رتھوان,"noun, masculine"
ਗੋਸਟੀ,,
ਝੁਮਰ,,
ਦੁਖਿਆਰਾ,دُکھیارا,"noun masculine, adjective/adjective/ adjective"
ਖੰਡਣਯੋਗ,کھنڈنیوگ,adjective
ਭੈਡ਼ੀਏ,,
ਹੱਕਾ ਬੱਕਾ,ہکّا بکّا,"adjective, masculine"
ਤੜਫੜਾਉਣਾ,تڑپھڑاؤنا,"verb, transitive"
ਕੰਨੀ ਬੁੱਜੇ ਦੇਣਾ,کنّی بُجّے دینا,phrase
ਨਿਖੇਦਵਾਦ,نِکھیدواد,"noun, masculine"
ਉਂਗੁਲ,,
ਰਹਕਾਮ,,
ਅਸਿੱਧ,,
ਘੰਦੋਲਾ,,
ਗੁਣਗੁਣਾ,گُنگُنا,"adjective, masculine"
ਅਧਿਐਨ,ادھئین,"noun, masculine"
ਕੁਰਾ,,
 ਖੇਹ ਖੁਆਰੀ, کھیہہ خواری,"noun, feminine"
